0x400a7e: ret
0x4211d5: retw
0x401a7d: iret
0x4090a1: retf
0x406fe4: fs ret
0x46bc01: bnd ret
0x48ff90: ds iret
0x4167b1: ret 0x0
0x45daff: rex ret
0x4216d1: cld; ret
0x4004cf: nop; ret
0x464c7a: ret 0x23
0x407f1b: retf 0x0
0x488c28: ret 0x33
0x49012a: sti; ret
0x40a4f5: clc; ret
0x4155c8: lock ret
0x4009d0: repz ret
0x488738: ret 0x24
0x489730: ret 0x1d4
0x4109b3: stc; iret
0x416a0a: ret 0x1c6
0x40f713: ret 0xf49
0x4333bb: ret 0xf66
0x416821: ret 0xfc3
0x45fc4f: ret 0xf48
0x494ebe: rex.B ret
0x4205b5: lahf; ret
0x489ec8: ret 0x1d5
0x40d74b: ret 0x389
0x40fc6a: ret 0x6b9
0x43eb07: rex.R ret
0x416b1a: ret 0x22a
0x477a08: int3; ret
0x41d785: ret 0x876
0x415e68: ret 0x672
0x46d43b: rex.W ret
0x415d08: ret 0x66c3
0x46f7d2: ret 0x950f
0x41db96: ret 0x6776
0x40ee53: ret 0x7408
0x41dbe6: ret 0x1776
0x40f807: ret 0x8548
0x40748e: ret 0x8348
0x41dba6: ret 0x5776
0x43a47e: ret 0xc35b
0x415e60: ret 0x4801
0x460e6c: ret 0x4804
0x40e9cf: ret 0x8b48
0x44862c: ret 0x4811
0x45e816: rex.WR ret
0x47682e: ret 0xa4e9
0x46c7ca: ret 0x7472
0x46e4cb: ret 0x894e
0x41278e: retf 0x1be
0x46e4ad: ret 0x8b4a
0x432cf8: ret 0x48c3
0x4389c2: ret 0x3a01
0x410293: rex.WB ret
0x41d540: ret 0xc085
0x41d765: ret 0x2876
0x41e3ae: ret 0xff2d
0x46238c: ret 0x31c3
0x47c72d: ret 0xfff9
0x415646: ret 0xe775
0x4690ca: ret 0xfd50
0x43ff72: ret 0xfc04
0x43a472: ret 0xe680
0x40f802: ret 0xe375
0x497c37: rex.WX ret
0x44c8bd: ret 0xe920
0x45802f: ret 0x894c
0x455e1d: ret 0x8941
0x4330b8: ret 0x2288
0x415d7a: rex.X iret
0x436f08: ret 0x7520
0x4324c5: ret 0x90c3
0x40d73c: ret 0xe083
0x41d4ee: ret 0x860f
0x47556e: ret 0x8440
0x432e50: retf 0xf48
0x43bddc: ret 0x1f0f
0x476806: ret 0xd284
0x400b32: leave; ret
0x43ade1: ret 0x8948
0x41d755: ret 0x3876
0x436f43: ret 0x7504
0x41d775: ret 0x1876
0x41dbc6: ret 0x3776
0x41414b: ret 0xc275
0x406192: ret 0xfff0
0x42665c: retf 0xf0d
0x447ba5: ret 0xc389
0x43b782: ret 0xffc0
0x4486cf: ret 0xfffc
0x45f948: ret 0xe575
0x44864e: ret 0xc083
0x4139eb: ret 0xffff
0x461c81: retf 0x6b8
0x48e9c2: ret 0xc4c3
0x41414d: ret 0xc3f3
0x45db83: ret 0x4389
0x461fc1: ret 0x1477
0x40b6ba: ret 0x8949
0x436f36: ret 0x7502
0x4054f1: ret 0x4401
0x44a330: ret 0xffe0
0x409407: ret 0x2948
0x46e52d: ret 0xf075
0x40fe62: ret 0x4908
0x436f15: ret 0x7540
0x41f02c: ret 0x830f
0x46c8fc: ret 0xd8f7
0x44238e: ret 0x41c3
0x4600e1: retf 0xf4c
0x41e2b6: ret 0xe883
0x46c7d5: ret 0xcde8
0x432926: ret 0xf8c5
0x46c969: ret 0x840f
0x4325b1: ret 0xc148
0x421e93: rex.RX ret
0x4753ab: ret 0x9272
0x497d37: rex.RB ret
0x4903dc: sahf; retf
0x40713f: retf 0x743
0x40d741: retf 0x8501
0x43a57f: retf 0xd231
0x4157d2: retf 0x4c89
0x41f953: rex.WRX ret
0x4711b7: retf 0xe677
0x470292: retf 0x8b41
0x401f76: retf 0xc089
0x45db79: retf 0x8508
0x47a55d: retf 0x9de8
0x46daec: retf 0x8b48
0x456968: rex.WRB ret
0x409ab0: retf 0x8920
0x472d10: retf 0xffff
0x438b9a: retf 0x4466
0x4424c4: retf 0x1489
0x491e01: retf 0xebbf
0x45fb89: rex.RB iret
0x4157d8: retf 0x8902
0x43a55f: retf 0xb60f
0x45fd86: retf 0xfdc5
0x43a376: retf 0xd975
0x43a04c: retf 0xe475
0x461fd1: es repz ret
0x462464: retf 0x8348
0x4747e2: retf 0xff7d
0x406269: fpatan; ret
0x422077: retf 0x894c
0x4126d7: rex.RXB ret
0x43a1b3: retf 0xe175
0x46082e: retf 0xfffe
0x494bb3: rex.WXB ret
0x41d419: retf 0x8d4a
0x45a6cb: retf 0xc148
0x4913ab: retf 0x99e0
0x432d8c: retf 0x8948
0x43af9e: retf 0xd284
0x43d912: retf 0x19b8
0x461645: syscall; ret
0x400d38: pop rbx; ret
0x421e2a: rex.WRXB ret
0x401d0d: pop r13; ret
0x421ef0: rex.RXB retf
0x4005f6: pop rdi; ret
0x405894: pop r14; ret
0x43d9d4: pop r10; ret
0x460bdd: bnd repz ret
0x43d9d5: pop rdx; ret
0x43b97c: pop rax; ret
0x4005f5: pop r15; ret
